runId,label,operation,requestId,phase,t,status,errorCode,classification,reasonClient,reasonApi,stageApi,apiPresent,providerDispatched,e2eMs
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21674,measured,190.02,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9296,measured,190.025,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21675,measured,190.034,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21676,measured,190.049,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21677,measured,190.063,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21678,measured,190.077,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21679,measured,190.091,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9298,measured,190.091,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21680,measured,190.106,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21681,measured,190.12,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21682,measured,190.134,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21683,measured,190.149,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21684,measured,190.163,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21685,measured,190.177,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21686,measured,190.192,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9301,measured,190.192,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21687,measured,190.206,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9302,measured,190.225,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21689,measured,190.234,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21690,measured,190.249,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9304,measured,190.292,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21693,measured,190.306,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21694,measured,190.334,0,1050,technical_error,,provider_error,completed,True,True,2001
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21695,measured,190.363,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21696,measured,190.392,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,quote,quote-21697,measured,190.421,0,1050,technical_error,,provider_error,completed,True,True,2000
E09-s7-initial-3ac5e9c9-a9ae-4929-b535-fb8d4534a036,E09 r1,profile,profile-9307,measured,190.425,0,1050,technical_error,,provider_error,completed,True,True,2000
